id,family_name,name,patronymic
18353,Аксентьева,Елена,Константиновна
8633,Аксёнов,Александр,Владимирович
12004,Аксёнов,Иван,Викторович
19580,Аксёнова,Оксана,Геннадьевна
18979,Акст,Татьяна,Васильевна
19352,Актаев,Айдархан,Жумаваевич
12584,Акулиничев,Сергей,Вячеславович
19862,Акулич,Сергей,Петрович
4322,Акулов,Виктор,Александрович
11218,Акулов,Павел,Михайлович
1133,Акулов,Тимур,Юрьевич
12697,Акулова,Элина,Валерьевна
13935,Акчурин,Ильдар,Анвярович
5231,Акшаев,Александр,Сергеевич
1686,Акшенцов,Юрий,Николаевич
11144,Акъюлов,Сайфун,Сагадаткираевич
14175,Алабин,Петр,Константинович
17704,Алабичев,Александр,Иванович
10017,Алавидзе,Галина,Александровна
19464,Алаев,Даниль,Алмазович
18744,Алалыкина,Наталья,Петровна
18677,Алаторцева,Лилиана,Анатольевна
19688,Алаудинов,Саламбек,Аюбович
16645,Алафердов,Владимир,Викторович
16119,Алафинов,Иннокентий,Сергеевич
15925,Алашеев,Николай,Николаевич
2086,Алашинова,Елена,Анатольевна 
19303,Алашкевич,Михаил,Юрьевич
12759,Албаков,Хумит,Джабиевич
14452,Албегов,Борис,Харитонович
539,Албин (Слюняев),Игорь,Николаевич
15324,Албитов,Петр,Николаевич
7736,Алборов,Роман,Родикович
12761,Алдаров,Кузьма,Романович
9563,Алейкина,Александра,Александровна
5807,Алейник,Владимир,Сергеевич
16869,Алейник,Станислав,Николаевич
16041,Алейников,Владимир,Георгиевич
13308,Алейников,Владимир,Николаевич
20497,Алекберов,Р.,М.
19907,Александрин,Валерий,Иванович
20128,Александрина,Татьяна,Алексеевна
16013,Александров,Александр,Николаевич
13485,Александров,Александр,Павлович
13722,Александров,Алексей,Алексеевич
8911,Александров,Алексей,Евгеньевич
734,Александров,Алексей,Иванович
3440,Александров,Алексей,Олегович
4707,Александров,Анатолий,Александрович
13900,Александров,Валентин,Митрофанович
7166,Александров,Вячеслав,Александрович
15273,Александров,Вячеслав,Николаевич
16057,Александров,Герман,Геннадиевич
7013,Александров,Сергей,Владимирович
3227,Александрова,Александра,Борисовна
9627,Александрова,Алла,Юрьевна
6252,Александрова,Анастасия,Олеговна
3780,Александрова,Арина,Викторовна
20632,Александрова,Виолетта,Геннадьевна
8549,Александрова,Галина,Борисовна
10936,Александрова,Е.В.,
10415,Александрова,Елена,Анатольевна
19315,Александрова,Ирина,Николаевна
3683,Александрова,Лариса,Максимовна
1782,Александрова,Лариса,Сергеевна
9347,Александрова,Н.,В.
9296,Александрова,Наталья,Григорьевна
6422,Александрова,Татьяна,Алексеевна
9628,Александрович,Елена,Владимировна
20846,Александронец,Елена,Михайловна
3790,Александронец,Марина,Сергеевна
15354,Александрычев,Николай,Алексеевич
10230,Алексанникова,Ольга,Владимировна
16649,Алексахин,Роман,Николаевич
10073,Алексашкина,Светлана,Александровна
21116,Алексеев,А.,В.
2546,Алексеев,А.,Н.
20004,Алексеев,Алексей,Васильевич
3434,Алексеев,Андрей,Александрович
857,Алексеев,Артем,Александрович
18147,Алексеев,Борис,Владимирович
12762,Алексеев,Борис,Григорьевич
11273,Алексеев,Виктор,Николаевич
13606,Алексеев,Владимир,Константинович
14328,Алексеев,Гаврил,Николаевич
16218,Алексеев,Евгений,Анатольевич
15520,Алексеев,Евгений,Викторович
8928,Алексеев,Евгений,Георгиевич
16327,Алексеев,Игорь,Алексеевич
9348,Алексеев,К.,В.
14264,Алексеев,Олег,Александрович
13646,Алексеев,Олег,Николаевич
17164,Алексеев,Павел,Владимирович
17600,Алексеев,Петр,Николаевич
19997,Алексеев,Сергей,Владимирович
17213,Алексеев,Сергей,Игоревич
8898,Алексеев,Сергей,Маркианович
11125,Алексеев,Сергей,Петрович
20061,Алексеев,Соёл,Зыгбэевич
21216,Алексеев,Юрий,Владимирович
10018,Алексеева,Валентина,Федоровна
10019,Алексеева,Галина,Александровна
9459,Алексеева,Евгения,Михайловна
3914,Алексеева,Екатерина,Васильевна
6077,Алексеева,Елена,Григорьева
3142,Алексеева,Ирина,Олеговна
10074,Алексеева,Лилия,Викторовна
9698,Алексеева,Марина,Владимировна
9636,Алексеева,Мария,Георгиевна
15143,Алексеева,Надежда,Геннадьевна
7205,Алексеева,Наталья,Александровна
2004,Алексеева,Нина,Михайловна
2199,Алексеева,Оксана ,Викторовна 
5922,Алексеева,Оксана,Владимировна
6624,Алексеева,Ольга,Александровна
6289,Алексеева,Ольга,Юрьевна
6566,Алексеева,Полина,Викторовна
3930,Алексеева,С.,А.
11903,Алексеева,Светлана,Александровна
11827,Алексеева,Светлана,Николаевна
19202,Алексеева,Светлана,Юрьевна
10389,Алексеева,Тамара,Павловна
9824,Алексеева,Татьяна,Васильевна
4195,Алексеева,Татьяна,Михайловна
6622,Алексеева,Татьяна,Николаевна
565,Алексеева,Татьяна,Олеговна
11103,Алексеенко,Анатолий,Васильевич
3521,Алексеенко,Валентина,Николаевна
898,Алексеенко,Валентина,Федоровна
4377,Алексеенко,Вера,Владимировна
6623,Алексеенко,Ирина,Петровна
4486,Алексеенко,Людмила,Николаевна
16678,Алексеенко,Сергей,Иванович
8601,Алексеенкова,Любовь,Евгеньевна
1777,Алексейчик ,Вячеслав ,Валентинович
20274,Алексина,Светлана,Евгеньевна
10702,Алексонис,Г.А.,
16650,Алемасова,Ольга,Альбертовна
7993,Аленин,Николай,Степанович
4211,Алепенкова,Любовь,Станиславовна
10416,Алескеров,Джавад,Шахин
5595,Алескеров,Тимофей,Энверович
13792,Алехин,Андрей,Анатольевич
12397,Алехин,Игорь,Иванович
9044,Алешин,Алексей,Алексеевич
16381,Алешин,Алексей,Владиславович
13647,Алешин,Виктор,Алексеевич
1298,Алешин,Владимир,Васильевич
12769,Алешин,Г.,П.
7415,Алешин,Михаил,Игоревич
7849,Алешин,Николай,Владимирович
2906,Алешина,Галина,Ивановна
4709,Алешина,Светлана,Александровна
11713,Алешина,Татьяна,Валентиновна
13179,Алешкевич,Юлия,Сергеевна
14616,Алешкин,Александр,Степанович
1299,Алешкин,Алексей,Алексеевич
14617,Алешкин,Сергей,Александрович
5304,Алещенко,Елена,Анатольевна
4833,Алещенко,Сергей,Иванович
13556,Алёхин,Валерий,Владимирович
15942,Алёхин,Дмитрий,Вячеславович
9577,Алёхина,Елизавета,Александровна
5416,Алёшин,Алексей,Владиславович
15837,Алёшин,Владимир,Викторович
7321,Алёшкин,Сергей,Михайлович
1677,Алибаев,Гафур,Хабибович
19913,Алибеков,Ибрагим,Манапович
12585,Алигишиев,Гамид,Замидович
18035,Алиев,Адам,Магомедович
2493,Алиев,Андрей ,Романович
12586,Алиев,Гасан,Гадисович
18499,Алиев,Джамалудин,Ахмедович
20499,Алиев,И.,В.
12587,Алиев,Нурмагомед,Алиевич
12588,Алиев,Омаргаджи,Омарович
16943,Алиев,Рамазан,Магомедович
13384,Алиев,Саяд,Исбарович
17124,Алиев,Темирлан,Борисович
16236,Алиев,Фёдор,Шарафович
10075,Алиева,Елена,Андреевна
1300,Алиева,Ирина,Вячеславовна
17655,Ализов,Казбек,Ахтемирович
19006,Аликина,Галина,Федоровна
8789,Алилуев,Николай,Владимирович
16231,Алимова,Зинаида,Ивановна
7438,Алимова,Наталья,Аликовна
508,Алимова,Ольга,Николаевна
19487,Алимова,Татьяна,Михайловна
11477,Алимханова,Саду,Хамидовна
16830,Алисов,Александр,Александрович
7618,Алистратов,Валерий,Васильевич
14027,Алистратов,Владимир,Николаевич
16438,Алисултанов,Анзор,Рашидович
12758,Алисханов,Магомет,Алисханович
20266,Алиханов,Антон,Андреевич
12993,Алиханов,Девлетхан,Медетханович
5405,Аллилуева,Ольга,Геннадьевна
12222,Алмаев,Анвер,Ибрагимович
11364,Алмазов,Рамиз,Чобан-Оглы
6567,Алмоян,Марина,Александровна
4710,Алоян,Роберт,Мишаевич
2974,Алсуфьев,Алексей,Владимирович
15450,Алтухов,Евгений,Анатольевич
11455,Алтухов,Сергей,Анатольевич
13723,Алтухов,Сергей,Игоревич
18122,Алтухов,Юрий,Иванович
9223,Алтухова,Виктория,Николаевна
18009,Алтынова,Найля,Фаязовна
9,Алферов,Жорес,Иванович
4332,Алферова,Л.,П.
20635,Алферова,Надежда,Николаевна
9396,Алфименко,Светлана,Сергеевна
5365,Алхазов,Дмитрий,Михайлович
15237,Алхазуров,Магомед,Исаевич
11980,Алханов,Али,Дадашевич
18510,Алхасов,Херчибег,Саритович
15500,Алхастова,Хади,М.
12589,Алчиев,Николай,Юрьевич
2847,Алчубаев,Александр,Николаевич
8307,Алымова,Наталья,Александровна
4711,Альбеков,Адам,Умарович
20498,Альберт,Р.,В.
4038,Алькова,Светлана,Алексеевна
12092,Альпимов,Укмет,Альпимович
11476,Альсултанов,Ибрагим,Мусаевич
1960,АЛЬТ,Владимир,Александрович
17557,Альтергот,Виктор,Вильгельмович
2087,Альтовская,Елена ,Леонидовна
17022,Альтудов,Юрий,Камбулатович
12702,Альханов,Валерий,Баратович
11502,Альхаова,А.С.,
14874,Альховик,Алексей,Иванович
14406,Альшевских,Андрей,Геннадьевич
6078,Альшина,Зульфия,Фоатевна
7540,Аляев,Алексей,Васильевич
9413,Амаева,Сабина,Хизбулаевна
8433,Амалицкая,Светлана,Михайловна
13560,Амбаев,Николай,Борисович
7182,Амбалова,Симма,Махмудовна
3750,Амбрасовская,Тамара,Павловна
8366,Амброзевич,Евгений,Георгиевич
13837,Амелин,Максим,Анатольевич
1488,Амелин,Николай,Максимович
8035,Амелькин,Алексей,Владимирович
1570,Аминев,Радик,Кадирович
14669,Аминов,Ильшат,Юнусович
2200,Аминов,Олег,Алексеевич
10076,Аминова,Ирина,Васильевна
115,Амирилаев,Адам,Баширович
7986,Амиров,Захар,Исаевич
19947,Амиров,Кафиль,Фахразеевич
12590,Амиров,Магомед,Саидович
7123,Амирова,Алина,Юрьевна
18551,Амирова,Светлана,Анатольевна
18590,Амироков,Руслан,Мухамедович
5396,Амирханов,Амирхан,Магомедович
14329,Аммосов,Петр,Револьдович
13278,Амосов,Анатолий,Егорович
19465,Амосова,Ольга,Викторовна
6783,Амосова,Татьяна,Викторовна
12741,Амриева,Марьям,Султановна
5571,Амунц,Дмитрий,Михайлович
17475,Анай-Оол,Виктор,Ховалыгович
20077,Анандаев,Антон,Бальжинимаевич
20060,Ананин,Владимир,Николаевич
18304,Ананов,Андрей,Георгиевич
292,Ананов,Никита,Георгиевич
361,Ананских,Игорь,Александрович
11793,Ананьев,Александр,Борисович
19828,Ананьев,Владимир,Михайлович
7340,Ананьев,Денис,Валерьевич
735,Ананьев,Дмитрий,Николаевич
15028,Ананьев,Игорь,Викторович
16223,Ананьев,Сергей,Викторович
4220,Ананьева,Наталья,Ивановна
3621,Ананьева,Ольга,Евгеньевна
16105,Ананьин,Михаил,Анатольевич
19021,Ананьина,Светлана,Илларионовна
12380,Ангбазов,Ильяс,Камил
1370,Англичанинов,Валерий,Вениаминович
9129,Анденко,Сергей,Анатольевич
14453,Андиев,Сослан,Петрович
15168,Андреев,Алексей,Владимирович
10,Андреев,Андрей,Анатольевич
14631,Андреев,Андрей,Владимирович
15274,Андреев,Валерий,Витальевич
11319,Андреев,Владимир,Васильевич
18446,Андреев,Владимир,Ильич
17530,Андреев,Дмитрий,Владимирович
20489,Андреев,Евгений,Юрьевич
3224,Андреев,Евгений,Юрьевич
14330,Андреев,Иван,Иванович
1763,Андреев,Максим,Михайлович
1369,Андреев,Михаил,Александрович
17048,Андреев,Николай,Бович
15346,Андреев,Олег,Петрович
15852,Андреев,Сергей,Игоревич
11831,Андреев,Станислав,Николаевич
4670,Андреева,А.,В.
10020,Андреева,Виктория,Вячеславовна
20634,Андреева,Галина,Николаевна
6171,Андреева,Екатерина,Валерьевна
18187,Андреева,Екатерина,Петровна
6172,Андреева,Елена,Валентиновна
1764,Андреева,Ирина,Викторовна
15944,Андреева,Людмила,Николаевна
6717,Андреева,Марина,Владимировна
7014,Андреева,Марина,Юрьевна
8360,Андреева,Наталья,Николаевна
6861,Андреева,Ольга,Анатольевна
